25-05-16 18:36:19.274 - INFO: [Phase 1] Training noise model!
25-05-16 19:05:01.578 - INFO: <epoch:1700, iter:   5,100> l_pix: 1.5177e-03 
25-05-16 19:05:35.175 - INFO: <epoch:1734, iter:   5,200> l_pix: 1.5334e-03 
25-05-16 19:06:06.595 - INFO: <epoch:1767, iter:   5,300> l_pix: 1.7206e-03 
25-05-16 19:06:37.847 - INFO: <epoch:1800, iter:   5,400> l_pix: 1.4148e-03 
25-05-16 19:07:12.607 - INFO: <epoch:1834, iter:   5,500> l_pix: 1.5224e-03 
25-05-16 19:07:42.830 - INFO: <epoch:1867, iter:   5,600> l_pix: 1.4525e-03 
25-05-16 19:08:16.125 - INFO: <epoch:1900, iter:   5,700> l_pix: 1.2671e-03 
25-05-16 19:08:47.893 - INFO: <epoch:1934, iter:   5,800> l_pix: 1.5426e-03 
25-05-16 19:09:17.955 - INFO: <epoch:1967, iter:   5,900> l_pix: 1.2917e-03 
25-05-16 19:09:51.983 - INFO: <epoch:2000, iter:   6,000> l_pix: 1.3754e-03 
25-05-16 19:09:51.984 - INFO: Saving models and training states.
25-05-16 19:09:52.045 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 19:10:21.794 - INFO: <epoch:2034, iter:   6,100> l_pix: 1.5060e-03 
25-05-16 19:10:56.392 - INFO: <epoch:2067, iter:   6,200> l_pix: 1.4944e-03 
25-05-16 19:11:27.024 - INFO: <epoch:2100, iter:   6,300> l_pix: 1.7445e-03 
25-05-16 19:11:58.448 - INFO: <epoch:2134, iter:   6,400> l_pix: 1.6743e-03 
25-05-16 19:12:32.545 - INFO: <epoch:2167, iter:   6,500> l_pix: 1.6943e-03 
25-05-16 19:13:03.238 - INFO: <epoch:2200, iter:   6,600> l_pix: 1.5131e-03 
25-05-16 19:13:37.525 - INFO: <epoch:2234, iter:   6,700> l_pix: 1.6337e-03 
25-05-16 19:14:08.279 - INFO: <epoch:2267, iter:   6,800> l_pix: 1.4754e-03 
25-05-16 19:14:39.063 - INFO: <epoch:2300, iter:   6,900> l_pix: 1.4874e-03 
25-05-16 19:15:14.136 - INFO: <epoch:2334, iter:   7,000> l_pix: 1.5168e-03 
25-05-16 19:15:14.136 - INFO: Saving models and training states.
25-05-16 19:15:14.195 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 19:15:45.087 - INFO: <epoch:2367, iter:   7,100> l_pix: 1.9210e-03 
25-05-16 19:16:18.694 - INFO: <epoch:2400, iter:   7,200> l_pix: 1.8476e-03 
25-05-16 19:16:50.026 - INFO: <epoch:2434, iter:   7,300> l_pix: 1.2859e-03 
25-05-16 19:17:20.685 - INFO: <epoch:2467, iter:   7,400> l_pix: 1.5912e-03 
25-05-16 19:17:54.444 - INFO: <epoch:2500, iter:   7,500> l_pix: 1.8405e-03 
25-05-16 19:18:24.420 - INFO: <epoch:2534, iter:   7,600> l_pix: 1.6566e-03 
25-05-16 19:18:58.861 - INFO: <epoch:2567, iter:   7,700> l_pix: 1.6119e-03 
25-05-16 19:19:30.036 - INFO: <epoch:2600, iter:   7,800> l_pix: 1.5062e-03 
25-05-16 19:20:01.791 - INFO: <epoch:2634, iter:   7,900> l_pix: 1.7045e-03 
25-05-16 19:20:35.434 - INFO: <epoch:2667, iter:   8,000> l_pix: 1.6470e-03 
25-05-16 19:20:35.435 - INFO: Saving models and training states.
25-05-16 19:20:35.548 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 19:21:06.455 - INFO: <epoch:2700, iter:   8,100> l_pix: 2.1022e-03 
25-05-16 19:21:40.788 - INFO: <epoch:2734, iter:   8,200> l_pix: 1.5349e-03 
25-05-16 19:22:11.391 - INFO: <epoch:2767, iter:   8,300> l_pix: 1.8575e-03 
25-05-16 19:22:42.898 - INFO: <epoch:2800, iter:   8,400> l_pix: 1.7006e-03 
25-05-16 19:23:16.086 - INFO: <epoch:2834, iter:   8,500> l_pix: 1.9498e-03 
25-05-16 19:23:46.629 - INFO: <epoch:2867, iter:   8,600> l_pix: 1.7472e-03 
25-05-16 19:24:20.896 - INFO: <epoch:2900, iter:   8,700> l_pix: 1.9990e-03 
25-05-16 19:24:51.276 - INFO: <epoch:2934, iter:   8,800> l_pix: 1.6731e-03 
25-05-16 19:25:23.490 - INFO: <epoch:2967, iter:   8,900> l_pix: 2.0640e-03 
25-05-16 19:25:56.126 - INFO: <epoch:3000, iter:   9,000> l_pix: 1.7160e-03 
25-05-16 19:25:56.126 - INFO: Saving models and training states.
25-05-16 19:25:56.239 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
25-05-16 19:26:26.663 - INFO: <epoch:3034, iter:   9,100> l_pix: 1.9880e-03 
25-05-16 19:27:00.610 - INFO: <epoch:3067, iter:   9,200> l_pix: 1.7944e-03 
25-05-16 19:27:31.168 - INFO: <epoch:3100, iter:   9,300> l_pix: 1.6498e-03 
25-05-16 19:28:03.957 - INFO: <epoch:3134, iter:   9,400> l_pix: 1.8352e-03 
25-05-16 19:28:34.851 - INFO: <epoch:3167, iter:   9,500> l_pix: 1.9660e-03 
25-05-16 19:29:04.797 - INFO: <epoch:3200, iter:   9,600> l_pix: 1.5780e-03 
25-05-16 19:29:38.975 - INFO: <epoch:3234, iter:   9,700> l_pix: 1.7103e-03 
25-05-16 19:30:09.320 - INFO: <epoch:3267, iter:   9,800> l_pix: 1.8423e-03 
25-05-16 19:30:43.465 - INFO: <epoch:3300, iter:   9,900> l_pix: 2.0886e-03 
25-05-16 19:31:13.653 - INFO: <epoch:3334, iter:  10,000> l_pix: 1.8288e-03 
25-05-16 19:31:13.653 - INFO: Saving models and training states.
25-05-16 19:31:13.753 - INFO: Saved model in [experiments/hardi_stage2_250516_183619/checkpoint/le_gen.pth] ...
