25-05-16 16:13:46.986 - INFO: [Phase 1] Training noise model!
25-05-16 16:13:47.232 - INFO: Note: NumExpr detected 56 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
25-05-16 16:13:47.233 - INFO: NumExpr defaulting to 8 threads.
25-05-16 16:13:53.310 - INFO: MRI dataset [hardi] is created.
25-05-16 16:13:58.987 - INFO: MRI dataset [hardi] is created.
25-05-16 16:13:58.988 - INFO: Initial Dataset Finished
25-05-16 16:13:59.262 - INFO: Noise Model is created.
25-05-16 16:13:59.263 - INFO: Initial Model Finished
25-05-16 16:14:19.194 - INFO: <epoch: 34, iter:     100> l_pix: 2.2407e-03 
25-05-16 16:14:19.194 - INFO: Saving models and training states.
25-05-16 16:14:19.209 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:14:38.005 - INFO: <epoch: 67, iter:     200> l_pix: 2.1483e-03 
25-05-16 16:14:38.005 - INFO: Saving models and training states.
25-05-16 16:14:38.026 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:14:59.318 - INFO: <epoch:100, iter:     300> l_pix: 1.9617e-03 
25-05-16 16:14:59.319 - INFO: Saving models and training states.
25-05-16 16:14:59.336 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:15:16.479 - INFO: <epoch:134, iter:     400> l_pix: 1.8413e-03 
25-05-16 16:15:16.480 - INFO: Saving models and training states.
25-05-16 16:15:16.496 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:15:37.798 - INFO: <epoch:167, iter:     500> l_pix: 2.0050e-03 
25-05-16 16:15:37.799 - INFO: Saving models and training states.
25-05-16 16:15:37.822 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:15:57.779 - INFO: <epoch:200, iter:     600> l_pix: 1.3794e-03 
25-05-16 16:15:57.779 - INFO: Saving models and training states.
25-05-16 16:15:57.806 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:16:16.041 - INFO: <epoch:234, iter:     700> l_pix: 1.9964e-03 
25-05-16 16:16:16.041 - INFO: Saving models and training states.
25-05-16 16:16:16.062 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:16:37.316 - INFO: <epoch:267, iter:     800> l_pix: 1.8277e-03 
25-05-16 16:16:37.317 - INFO: Saving models and training states.
25-05-16 16:16:37.347 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:16:54.413 - INFO: <epoch:300, iter:     900> l_pix: 1.6101e-03 
25-05-16 16:16:54.413 - INFO: Saving models and training states.
25-05-16 16:16:54.431 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:17:16.088 - INFO: <epoch:334, iter:   1,000> l_pix: 1.9515e-03 
25-05-16 16:17:16.089 - INFO: Saving models and training states.
25-05-16 16:17:16.112 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:17:36.051 - INFO: <epoch:367, iter:   1,100> l_pix: 1.8837e-03 
25-05-16 16:17:36.052 - INFO: Saving models and training states.
25-05-16 16:17:36.072 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:17:54.025 - INFO: <epoch:400, iter:   1,200> l_pix: 1.7574e-03 
25-05-16 16:17:54.025 - INFO: Saving models and training states.
25-05-16 16:17:54.045 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:18:15.778 - INFO: <epoch:434, iter:   1,300> l_pix: 1.8465e-03 
25-05-16 16:18:15.778 - INFO: Saving models and training states.
25-05-16 16:18:15.811 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:18:32.543 - INFO: <epoch:467, iter:   1,400> l_pix: 1.8522e-03 
25-05-16 16:18:32.544 - INFO: Saving models and training states.
25-05-16 16:18:32.564 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:18:54.193 - INFO: <epoch:500, iter:   1,500> l_pix: 2.2960e-03 
25-05-16 16:18:54.194 - INFO: Saving models and training states.
25-05-16 16:18:54.228 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:19:14.503 - INFO: <epoch:534, iter:   1,600> l_pix: 1.7806e-03 
25-05-16 16:19:14.504 - INFO: Saving models and training states.
25-05-16 16:19:14.532 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:19:32.855 - INFO: <epoch:567, iter:   1,700> l_pix: 1.9315e-03 
25-05-16 16:19:32.855 - INFO: Saving models and training states.
25-05-16 16:19:32.878 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:19:54.091 - INFO: <epoch:600, iter:   1,800> l_pix: 1.9086e-03 
25-05-16 16:19:54.092 - INFO: Saving models and training states.
25-05-16 16:19:54.108 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:20:11.203 - INFO: <epoch:634, iter:   1,900> l_pix: 2.0476e-03 
25-05-16 16:20:11.203 - INFO: Saving models and training states.
25-05-16 16:20:11.220 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:20:33.135 - INFO: <epoch:667, iter:   2,000> l_pix: 2.0875e-03 
25-05-16 16:20:33.135 - INFO: Saving models and training states.
25-05-16 16:20:33.155 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:20:53.410 - INFO: <epoch:700, iter:   2,100> l_pix: 2.0484e-03 
25-05-16 16:20:53.410 - INFO: Saving models and training states.
25-05-16 16:20:53.432 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:21:11.550 - INFO: <epoch:734, iter:   2,200> l_pix: 2.0167e-03 
25-05-16 16:21:11.550 - INFO: Saving models and training states.
25-05-16 16:21:11.568 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:21:33.162 - INFO: <epoch:767, iter:   2,300> l_pix: 1.9678e-03 
25-05-16 16:21:33.162 - INFO: Saving models and training states.
25-05-16 16:21:33.181 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:21:49.791 - INFO: <epoch:800, iter:   2,400> l_pix: 2.2214e-03 
25-05-16 16:21:49.792 - INFO: Saving models and training states.
25-05-16 16:21:49.810 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:22:11.585 - INFO: <epoch:834, iter:   2,500> l_pix: 2.4031e-03 
25-05-16 16:22:11.585 - INFO: Saving models and training states.
25-05-16 16:22:11.606 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:22:32.163 - INFO: <epoch:867, iter:   2,600> l_pix: 2.2020e-03 
25-05-16 16:22:32.163 - INFO: Saving models and training states.
25-05-16 16:22:32.184 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:22:48.412 - INFO: <epoch:900, iter:   2,700> l_pix: 2.4799e-03 
25-05-16 16:22:48.412 - INFO: Saving models and training states.
25-05-16 16:22:48.430 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:23:09.493 - INFO: <epoch:934, iter:   2,800> l_pix: 2.1566e-03 
25-05-16 16:23:09.493 - INFO: Saving models and training states.
25-05-16 16:23:09.508 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:23:28.581 - INFO: <epoch:967, iter:   2,900> l_pix: 1.9243e-03 
25-05-16 16:23:28.581 - INFO: Saving models and training states.
25-05-16 16:23:28.600 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:23:47.739 - INFO: <epoch:1000, iter:   3,000> l_pix: 1.9441e-03 
25-05-16 16:23:47.739 - INFO: Saving models and training states.
25-05-16 16:23:47.756 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:24:09.309 - INFO: <epoch:1034, iter:   3,100> l_pix: 2.2470e-03 
25-05-16 16:24:09.309 - INFO: Saving models and training states.
25-05-16 16:24:09.326 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:24:26.050 - INFO: <epoch:1067, iter:   3,200> l_pix: 1.8973e-03 
25-05-16 16:24:26.051 - INFO: Saving models and training states.
25-05-16 16:24:26.076 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:24:46.810 - INFO: <epoch:1100, iter:   3,300> l_pix: 2.2832e-03 
25-05-16 16:24:46.810 - INFO: Saving models and training states.
25-05-16 16:24:46.830 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:25:07.050 - INFO: <epoch:1134, iter:   3,400> l_pix: 2.4610e-03 
25-05-16 16:25:07.051 - INFO: Saving models and training states.
25-05-16 16:25:07.068 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:25:24.404 - INFO: <epoch:1167, iter:   3,500> l_pix: 1.9501e-03 
25-05-16 16:25:24.404 - INFO: Saving models and training states.
25-05-16 16:25:24.423 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:25:45.654 - INFO: <epoch:1200, iter:   3,600> l_pix: 2.6805e-03 
25-05-16 16:25:45.655 - INFO: Saving models and training states.
25-05-16 16:25:45.679 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:26:03.144 - INFO: <epoch:1234, iter:   3,700> l_pix: 2.3837e-03 
25-05-16 16:26:03.144 - INFO: Saving models and training states.
25-05-16 16:26:03.163 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:26:23.142 - INFO: <epoch:1267, iter:   3,800> l_pix: 2.1510e-03 
25-05-16 16:26:23.142 - INFO: Saving models and training states.
25-05-16 16:26:23.162 - INFO: Saved model in [experiments/hardi_stage1_250516_161346/checkpoint/latest_stage1_gen.pth] ...
25-05-16 16:26:44.825 - INFO: <epoch:1300, iter:   3,900> l_pix: 2.2575e-03 
25-05-16 16:26:44.825 - INFO: Saving models and training states.
